console_display,full_title,total_search_results,tune_title,tune_slug,composer,meter,incipit,key,place_of_origin,copyright,num_hymnals,midi_url,recording_url,pdf_url,hymnary_url
GoDarkGethsemane,Go to Dark Gethsemane,10,MADRID (Spanish),madrid_spanish,,6.6.6.6 D,17161 53142 17117,A♭ Major/A Major,,Public Domain,593,https://hymnary.org/media/fetch/80036,https://hymnary.org/media/fetch/222428,https://hymnary.org/media/fetch/80037,https://hymnary.org/tune/madrid_spanish
GoDarkGethsemane,Go to Dark Gethsemane,10,REDHEAD NO. 76,redhead_no_76,Richard Redhead (1853),7.7.7.7.7.7,11234 43112 32211,E♭ Major,,Public Domain,508,https://hymnary.org/media/fetch/80268,https://hymnary.org/media/fetch/222201,https://hymnary.org/media/fetch/80269,https://hymnary.org/tune/redhead_no_76
GoDarkGethsemane,Go to Dark Gethsemane,10,ARFON (Minor),arfon_minor,,7.7.7.7.7.7,51176 51234 32132,g minor,,Public Domain,54,https://hymnary.org/media/fetch/107986,https://hymnary.org/media/fetch/148641,https://hymnary.org/media/fetch/107988,https://hymnary.org/tune/arfon_minor
GoDarkGethsemane,Go to Dark Gethsemane,10,NICHT SO TRAURIG (Bach),nicht_so_traurig_bach,Johann Sebastian Bach,7.7.7.7.7.7,32154 32347 1,g minor,,Public Domain,31,https://hymnary.org/media/fetch/208959,https://hymnary.org/media/fetch/180722,https://hymnary.org/media/fetch/190499,https://hymnary.org/tune/nicht_so_traurig_bach
GoDarkGethsemane,Go to Dark Gethsemane,10,LUCERNA LAUDONIAE,lucerna_laudoniae_evans,David Evans,7.7.7.7 with refrain,55312 36514 31323,A♭ Major,,Public Domain,23,https://hymnary.org/media/fetch/208985,https://hymnary.org/media/fetch/180521,,https://hymnary.org/tune/lucerna_laudoniae_evans
GodofGrace Glory,God of Grace and God of Glory,10,ASSURANCE (Knapp),blessed_assurance_jesus_is_mine_knapp,Phoebe Palmer Knapp (1873),9.10.9.9 with refrain,32155 45655 35177,D Major,,Public Domain,847,https://hymnary.org/media/fetch/80819,https://hymnary.org/media/fetch/222520,https://hymnary.org/media/fetch/80820,https://hymnary.org/tune/blessed_assurance_jesus_is_mine_knapp
GodofGrace Glory,God of Grace and God of Glory,10,AUSTRIAN HYMN,austrian_hymn_haydn,Joseph Haydn (1797),8.7.8.7 D,12324 32716 54323,E♭ Major,,Public Domain,803,https://hymnary.org/media/fetch/80374,https://hymnary.org/media/fetch/222441,https://hymnary.org/media/fetch/80375,https://hymnary.org/tune/austrian_hymn_haydn
GodofGrace Glory,God of Grace and God of Glory,10,MARYTON,maryton_smith,Henry Percy Smith (1874),8.8.8.8,33343 22255 43117,D Major,,Public Domain,496,https://hymnary.org/media/fetch/80620,https://hymnary.org/media/fetch/199230,https://hymnary.org/media/fetch/80621,https://hymnary.org/tune/maryton_smith
GodofGrace Glory,God of Grace and God of Glory,10,PROMISES (Carter),promises_carter,Russell Kelso Carter (1886),11.11.11.9 with refrain,55565 43451 16667,B♭ Major,United States,Public Domain,368,https://hymnary.org/media/fetch/80823,https://hymnary.org/media/fetch/199183,https://hymnary.org/media/fetch/80824,https://hymnary.org/tune/promises_carter
GodofGrace Glory,God of Grace and God of Glory,10,RENDEZ À DIEU,rendez_a_dieu_bourgeois,Guillaume Franc (1543),9.8.9.8 D,16511 24325 33143,G Major,,Public Domain,207,https://hymnary.org/media/fetch/99777,https://hymnary.org/media/fetch/199345,https://hymnary.org/media/fetch/96296,https://hymnary.org/tune/rendez_a_dieu_bourgeois
GodoftheAgesHand,"God of the Ages, Whose Almighty Hand",10,WINCHESTER NEW,winchester_new_musikalisches,,8.8.8.8,51566 54334 32554,A Major/B♭ Major,,Public Domain,435,https://hymnary.org/media/fetch/81856,https://hymnary.org/media/fetch/222544,https://hymnary.org/media/fetch/81857,https://hymnary.org/tune/winchester_new_musikalisches
GodoftheAgesHand,"God of the Ages, Whose Almighty Hand",10,NATIONAL HYMN,national_hymn_warren,George William Warren (1876),10.10.10.10,11234 31171 33356,E♭ Major,United States,Public Domain,384,https://hymnary.org/media/fetch/80377,https://hymnary.org/media/fetch/222271,https://hymnary.org/media/fetch/80378,https://hymnary.org/tune/national_hymn_warren
GodoftheAgesHand,"God of the Ages, Whose Almighty Hand",10,CREATION (Haydn),creation_haydn,Joseph Haydn (1797),8.8.8.8.8.8,51122 31621 75671,A♭ Major,,Public Domain,344,https://hymnary.org/media/fetch/81423,https://hymnary.org/media/fetch/221623,https://hymnary.org/media/fetch/81424,https://hymnary.org/tune/creation_haydn
